user_1,user_2,similarity_score
U0001,U0117,0.0
U0001,U0118,0.111
U0001,U0119,0.111
U0001,U0120,0.0
U0001,U0121,0.111
U0001,U0122,0.25
U0001,U0123,0.111
U0001,U0124,0.111
U0001,U0125,0.0
U0001,U0126,0.25
U0001,U0127,0.111
U0001,U0128,0.111
U0001,U0129,0.429
U0001,U0130,0.111
U0001,U0131,0.111
U0001,U0132,0.25
U0001,U0133,0.111
U0001,U0134,0.25
U0001,U0135,0.111
U0001,U0136,0.429
U0001,U0137,0.25
U0001,U0138,0.25
U0001,U0139,0.25
U0001,U0140,0.111
U0001,U0141,0.429
U0001,U0142,0.25
U0001,U0143,0.111
U0001,U0144,0.111
U0001,U0145,0.25
U0001,U0146,0.111
U0001,U0147,0.111
U0001,U0148,0.25
U0001,U0149,0.0
U0001,U0150,0.0
U0001,U0151,0.25
U0001,U0152,0.25
U0001,U0153,0.25
U0001,U0154,0.0
U0001,U0155,0.111
U0001,U0156,0.0
U0001,U0157,0.111
U0001,U0158,0.111
U0001,U0159,0.25
U0001,U0160,0.429
U0001,U0161,0.111
U0001,U0162,0.111
U0001,U0163,0.111
U0001,U0164,0.25
U0001,U0165,0.0
U0001,U0166,0.0
U0001,U0167,0.25
U0001,U0168,0.0
U0001,U0169,0.25
U0001,U0170,0.25
U0001,U0171,0.0
U0001,U0172,0.25
U0001,U0173,0.25
U0001,U0174,0.429
U0001,U0175,0.111
U0001,U0176,0.111
U0001,U0177,0.25
U0001,U0178,0.111
U0001,U0179,0.0
U0001,U0180,0.25
U0001,U0181,0.111
U0001,U0182,0.25
U0001,U0183,0.111
U0001,U0184,0.25
U0001,U0185,0.25
U0001,U0186,0.111
U0001,U0187,0.25
U0001,U0188,0.0
U0001,U0189,0.111
U0001,U0190,0.429
U0001,U0191,0.429
U0001,U0192,0.25
U0001,U0193,0.25
U0001,U0194,0.111
U0001,U0195,0.111
U0001,U0196,0.0
U0001,U0197,0.111
U0001,U0198,0.0
U0001,U0199,0.25
U0001,U0200,0.111
U0002,U0003,0.111
U0002,U0004,0.25
U0002,U0005,0.25
U0002,U0006,0.429
U0002,U0007,0.25
U0002,U0008,0.429
U0002,U0009,0.0
U0002,U0010,0.111
U0002,U0011,0.25
U0002,U0012,0.111
U0002,U0013,0.25
U0002,U0014,0.111
U0002,U0015,0.0
U0002,U0016,0.111
U0002,U0017,0.0
U0002,U0018,0.111
U0002,U0019,0.25
U0002,U0020,0.111
U0002,U0021,0.0
U0002,U0022,0.111
U0002,U0023,0.111
U0002,U0024,0.429
U0002,U0025,0.111
U0002,U0026,0.25
U0002,U0027,0.429
U0002,U0028,0.111
U0002,U0029,0.111
U0002,U0030,0.0
U0002,U0031,0.25
U0002,U0032,0.111
U0002,U0033,0.25
U0002,U0034,0.25
U0002,U0035,0.25
U0002,U0036,0.429
U0002,U0037,0.25
U0002,U0038,0.111
U0002,U0039,0.0
U0002,U0040,0.111
U0002,U0041,0.0
U0002,U0042,0.111
U0002,U0043,0.111
U0002,U0044,0.25
U0002,U0045,0.111
U0002,U0046,0.429
U0002,U0047,0.0
U0002,U0048,0.111
U0002,U0049,0.25
U0002,U0050,0.25
U0002,U0051,0.25
U0002,U0052,0.111
U0002,U0053,0.25
U0002,U0054,0.111
U0002,U0055,0.25
U0002,U0056,0.25
U0002,U0057,0.25
U0002,U0058,0.25
U0002,U0059,0.25
U0002,U0060,0.25
U0002,U0061,0.0
U0002,U0062,0.25
U0002,U0063,0.111
U0002,U0064,0.111
U0002,U0065,0.111
U0002,U0066,0.111
U0002,U0067,0.0
U0002,U0068,0.111
U0002,U0069,0.429
U0002,U0070,0.429
U0002,U0071,0.111
U0002,U0072,0.0
U0002,U0073,0.111
U0002,U0074,0.111
U0002,U0075,0.25
U0002,U0076,0.25
U0002,U0077,0.25
U0002,U0078,0.111
U0002,U0079,0.25
U0002,U0080,0.0
U0002,U0081,0.0
U0002,U0082,0.25
U0002,U0083,0.111
U0002,U0084,0.25
U0002,U0085,0.111
U0002,U0086,0.111
U0002,U0087,0.111
U0002,U0088,0.25
U0002,U0089,0.429
U0002,U0090,0.0
U0002,U0091,0.25
U0002,U0092,0.111
U0002,U0093,0.0
U0002,U0094,0.111
U0002,U0095,0.0
U0002,U0096,0.111
U0002,U0097,0.0
U0002,U0098,0.111
U0002,U0099,0.111
U0002,U0100,0.0
U0002,U0101,0.111
U0002,U0102,0.111
U0002,U0103,0.25
U0002,U0104,0.25
U0002,U0105,0.111
U0002,U0106,0.111
U0002,U0107,0.429
U0002,U0108,0.429
U0002,U0109,0.0
U0002,U0110,0.0
U0002,U0111,0.0
U0002,U0112,0.111
U0002,U0113,0.111
U0002,U0114,0.111
U0002,U0115,0.25
U0002,U0116,0.25
U0002,U0117,0.25
U0002,U0118,0.25
U0002,U0119,0.25
U0002,U0120,0.25
U0002,U0121,0.0
U0002,U0122,0.0
U0002,U0123,0.667
U0002,U0124,0.429
U0002,U0125,0.25
U0002,U0126,0.111
U0002,U0127,0.111
U0002,U0128,0.111
U0002,U0129,0.111
U0002,U0130,0.0
U0002,U0131,0.667
U0002,U0132,0.0
U0002,U0133,0.25
U0002,U0134,0.0
U0002,U0135,0.0
U0002,U0136,0.111
U0002,U0137,0.111
U0002,U0138,0.429
U0002,U0139,0.25
U0002,U0140,0.0
U0002,U0141,0.111
U0002,U0142,0.111
U0002,U0143,0.111
U0002,U0144,0.0
U0002,U0145,0.111
U0002,U0146,0.111
U0002,U0147,0.111
U0002,U0148,0.25
U0002,U0149,0.429
U0002,U0150,0.0
U0002,U0151,0.0
U0002,U0152,0.111
U0002,U0153,0.25
U0002,U0154,0.111
U0002,U0155,0.0
U0002,U0156,0.429
U0002,U0157,0.111
U0002,U0158,0.429
U0002,U0159,0.0
U0002,U0160,0.111
U0002,U0161,0.111
U0002,U0162,0.25
U0002,U0163,0.111
U0002,U0164,0.25
U0002,U0165,0.111
U0002,U0166,0.111
U0002,U0167,0.111
U0002,U0168,0.25
U0002,U0169,0.111
U0002,U0170,0.0
U0002,U0171,0.25
U0002,U0172,0.111
U0002,U0173,0.111
U0002,U0174,0.111
U0002,U0175,0.111
U0002,U0176,0.111
U0002,U0177,0.111
U0002,U0178,0.111
U0002,U0179,0.25
U0002,U0180,0.111
U0002,U0181,0.111
U0002,U0182,0.111
U0002,U0183,0.111
U0002,U0184,0.25
U0002,U0185,0.111
U0002,U0186,0.111
U0002,U0187,0.111
U0002,U0188,0.0
U0002,U0189,0.0
U0002,U0190,0.111
U0002,U0191,0.25
U0002,U0192,0.0
U0002,U0193,0.25
U0002,U0194,0.25
U0002,U0195,0.111
U0002,U0196,0.111
U0002,U0197,0.111
U0002,U0198,0.0
U0002,U0199,0.111
U0002,U0200,0.111
U0003,U0004,0.111
U0003,U0005,0.25
U0003,U0006,0.111
U0003,U0007,0.25
U0003,U0008,0.111
U0003,U0009,0.25
U0003,U0010,0.111
U0003,U0011,0.111
U0003,U0012,0.25
U0003,U0013,0.25
U0003,U0014,0.25
U0003,U0015,0.0
U0003,U0016,0.25
U0003,U0017,0.25
U0003,U0018,0.111
U0003,U0019,0.111
U0003,U0020,0.111
U0003,U0021,0.429
U0003,U0022,0.25
U0003,U0023,0.111
U0003,U0024,0.0
U0003,U0025,0.111
U0003,U0026,0.0
U0003,U0027,0.25
U0003,U0028,0.25
U0003,U0029,0.111
U0003,U0030,0.429
U0003,U0031,0.111
U0003,U0032,0.429
U0003,U0033,0.0
U0003,U0034,0.111
U0003,U0035,0.111
U0003,U0036,0.111
U0003,U0037,0.111
U0003,U0038,0.111
U0003,U0039,0.111
U0003,U0040,0.0
U0003,U0041,0.111
U0003,U0042,0.25
U0003,U0043,0.111
U0003,U0044,0.0
U0003,U0045,0.0
U0003,U0046,0.0
U0003,U0047,0.25
U0003,U0048,0.111
U0003,U0049,0.111
U0003,U0050,0.111
U0003,U0051,0.0
U0003,U0052,0.25
U0003,U0053,0.25
U0003,U0054,0.0
U0003,U0055,0.25
U0003,U0056,0.111
U0003,U0057,0.25
U0003,U0058,0.111
U0003,U0059,0.25
U0003,U0060,0.111
U0003,U0061,0.0
U0003,U0062,0.25
U0003,U0063,0.111
U0003,U0064,0.25
U0003,U0065,0.0
U0003,U0066,0.111
U0003,U0067,0.0
U0003,U0068,0.429
U0003,U0069,0.25
U0003,U0070,0.111
U0003,U0071,0.111
U0003,U0072,0.25
U0003,U0073,0.25
U0003,U0074,0.0
U0003,U0075,0.0
U0003,U0076,0.111
U0003,U0077,0.25
U0003,U0078,0.25
U0003,U0079,0.0
U0003,U0080,0.25
U0003,U0081,0.25
U0003,U0082,0.25
U0003,U0083,0.25
U0003,U0084,0.25
U0003,U0085,0.25
U0003,U0086,0.0
U0003,U0087,0.25
U0003,U0088,0.0
U0003,U0089,0.0
U0003,U0090,0.25
U0003,U0091,0.0
U0003,U0092,0.25
U0003,U0093,0.25
U0003,U0094,0.0
U0003,U0095,0.111
U0003,U0096,0.429
U0003,U0097,0.111
U0003,U0098,0.111
U0003,U0099,0.25
U0003,U0100,0.25
U0003,U0101,0.111
U0003,U0102,0.111
U0003,U0103,0.0
U0003,U0104,0.25
U0003,U0105,0.111
U0003,U0106,0.111
U0003,U0107,0.0
U0003,U0108,0.111
U0003,U0109,0.111
U0003,U0110,0.25
U0003,U0111,0.25
U0003,U0112,0.429
U0003,U0113,0.111
U0003,U0114,0.0
U0003,U0115,0.111
U0003,U0116,0.25
U0003,U0117,0.111
U0003,U0118,0.0
U0003,U0119,0.25
U0003,U0120,0.25
U0003,U0121,0.111
U0003,U0122,0.25
U0003,U0123,0.111
U0003,U0124,0.111
U0003,U0125,0.111
U0003,U0126,0.111
U0003,U0127,0.0
U0003,U0128,0.429
U0003,U0129,0.25
U0003,U0130,0.25
U0003,U0131,0.111
U0003,U0132,0.25
U0003,U0133,0.0
U0003,U0134,0.111
U0003,U0135,0.25
U0003,U0136,0.111
U0003,U0137,0.429
U0003,U0138,0.111
U0003,U0139,0.111
U0003,U0140,0.111
U0003,U0141,0.111
U0003,U0142,0.0
U0003,U0143,0.25
U0003,U0144,0.111
U0003,U0145,0.111
U0003,U0146,0.0
U0003,U0147,0.111
U0003,U0148,0.25
U0003,U0149,0.111
U0003,U0150,0.0
U0003,U0151,0.111
U0003,U0152,0.111
U0003,U0153,0.111
U0003,U0154,0.25
U0003,U0155,0.25
U0003,U0156,0.0
U0003,U0157,0.25
U0003,U0158,0.111
U0003,U0159,0.25
U0003,U0160,0.111
U0003,U0161,0.0
U0003,U0162,0.0
U0003,U0163,0.111
U0003,U0164,0.25
U0003,U0165,0.111
U0003,U0166,0.111
U0003,U0167,0.25
U0003,U0168,0.111
U0003,U0169,0.429
U0003,U0170,0.0
U0003,U0171,0.25
U0003,U0172,0.0
U0003,U0173,0.25
U0003,U0174,0.429
U0003,U0175,0.111
U0003,U0176,0.0
U0003,U0177,0.0
U0003,U0178,0.0
U0003,U0179,0.111
U0003,U0180,0.0
U0003,U0181,0.111
U0003,U0182,0.25
U0003,U0183,0.0
U0003,U0184,0.25
U0003,U0185,0.429
U0003,U0186,0.111
U0003,U0187,0.25
U0003,U0188,0.0
U0003,U0189,0.111
U0003,U0190,0.111
U0003,U0191,0.25
U0003,U0192,0.0
U0003,U0193,0.111
U0003,U0194,0.25
U0003,U0195,0.25
U0003,U0196,0.111
U0003,U0197,0.111
U0003,U0198,0.111
U0003,U0199,0.111
U0003,U0200,0.25
U0004,U0005,0.111
U0004,U0006,0.429
U0004,U0007,0.0
U0004,U0008,0.429
U0004,U0009,0.111
U0004,U0010,0.0
U0004,U0011,0.111
U0004,U0012,0.111
U0004,U0013,0.25
U0004,U0014,0.25
U0004,U0015,0.111
U0004,U0016,0.111
U0004,U0017,0.111
U0004,U0018,0.429
U0004,U0019,0.0
U0004,U0020,0.25
U0004,U0021,0.111
U0004,U0022,0.25
U0004,U0023,0.111
U0004,U0024,0.111
U0004,U0025,0.0
U0004,U0026,0.111
U0004,U0027,0.111
U0004,U0028,0.111
U0004,U0029,0.25
U0004,U0030,0.25
U0004,U0031,0.111
U0004,U0032,0.111
U0004,U0033,0.429
U0004,U0034,0.0
U0004,U0035,0.25
U0004,U0036,0.25
U0004,U0037,0.111
U0004,U0038,0.111
U0004,U0039,0.111
U0004,U0040,0.25
U0004,U0041,0.25
U0004,U0042,0.111
U0004,U0043,0.0
U0004,U0044,0.25
U0004,U0045,0.25
U0004,U0046,0.429
U0004,U0047,0.111
U0004,U0048,0.111
U0004,U0049,0.0
U0004,U0050,0.111
U0004,U0051,0.111
U0004,U0052,0.429
U0004,U0053,0.25
U0004,U0054,0.111
U0004,U0055,0.111
U0004,U0056,0.111
U0004,U0057,0.0
U0004,U0058,0.25
U0004,U0059,0.111
U0004,U0060,0.25
U0004,U0061,0.111
U0004,U0062,0.111
U0004,U0063,0.0
U0004,U0064,0.0
U0004,U0065,0.25
U0004,U0066,0.0
U0004,U0067,0.111
U0004,U0068,0.0
U0004,U0069,0.25
U0004,U0070,0.111
U0004,U0071,0.111
U0004,U0072,0.429
U0004,U0073,0.25
U0004,U0074,0.25
U0004,U0075,0.111
U0004,U0076,0.0
U0004,U0077,0.25
U0004,U0078,0.111
U0004,U0079,0.25
U0004,U0080,0.25
U0004,U0081,0.111
U0004,U0082,0.25
U0004,U0083,0.111
U0004,U0084,0.25
U0004,U0085,0.25
U0004,U0086,0.25
U0004,U0087,0.111
U0004,U0088,0.429
U0004,U0089,0.111
U0004,U0090,0.0
U0004,U0091,0.25
U0004,U0092,0.0
U0004,U0093,0.25
U0004,U0094,0.25
U0004,U0095,0.111
U0004,U0096,0.25
U0004,U0097,0.111
U0004,U0098,0.25
U0004,U0099,0.0
U0004,U0100,0.25
U0004,U0101,0.111
U0004,U0102,0.0
U0004,U0103,0.25
U0004,U0104,0.25
U0004,U0105,0.429
U0004,U0106,0.429
U0004,U0107,0.25
U0004,U0108,0.0
U0004,U0109,0.111
U0004,U0110,0.111
U0004,U0111,0.25
U0004,U0112,0.0
U0004,U0113,0.111
U0004,U0114,0.0
U0004,U0115,0.429
U0004,U0116,0.25
U0004,U0117,0.429
U0004,U0118,0.0
U0004,U0119,0.111
U0004,U0120,0.111
U0004,U0121,0.111
U0004,U0122,0.111
U0004,U0123,0.25
U0004,U0124,0.25
U0004,U0125,0.25
U0004,U0126,0.0
U0004,U0127,0.111
U0004,U0128,0.111
U0004,U0129,0.111
U0004,U0130,0.25
U0004,U0131,0.25
U0004,U0132,0.0
U0004,U0133,0.25
U0004,U0134,0.111
U0004,U0135,0.0
U0004,U0136,0.0
U0004,U0137,0.25
U0004,U0138,0.25
U0004,U0139,0.0
U0004,U0140,0.0
U0004,U0141,0.111
U0004,U0142,0.25
U0004,U0143,0.111
U0004,U0144,0.0
U0004,U0145,0.0
U0004,U0146,0.111
U0004,U0147,0.111
U0004,U0148,0.0
U0004,U0149,0.111
U0004,U0150,0.0
U0004,U0151,0.0
U0004,U0152,0.111
U0004,U0153,0.25
U0004,U0154,0.25
U0004,U0155,0.0
U0004,U0156,0.25
U0004,U0157,0.111
U0004,U0158,0.111
U0004,U0159,0.111
U0004,U0160,0.111
U0004,U0161,0.111
U0004,U0162,0.111
U0004,U0163,0.111
U0004,U0164,0.111
U0004,U0165,0.0
U0004,U0166,0.25
U0004,U0167,0.0
U0004,U0168,0.667
U0004,U0169,0.111
U0004,U0170,0.25
U0004,U0171,0.429
U0004,U0172,0.111
U0004,U0173,0.111
U0004,U0174,0.0
U0004,U0175,0.25
U0004,U0176,0.111
U0004,U0177,0.25
U0004,U0178,0.25
U0004,U0179,0.25
U0004,U0180,0.25
U0004,U0181,0.111
U0004,U0182,0.25
U0004,U0183,0.25
U0004,U0184,0.111
U0004,U0185,0.25
U0004,U0186,0.25
U0004,U0187,0.111
U0004,U0188,0.0
U0004,U0189,0.0
U0004,U0190,0.111
U0004,U0191,0.111
U0004,U0192,0.111
U0004,U0193,0.0
U0004,U0194,0.25
U0004,U0195,0.429
U0004,U0196,0.111
U0004,U0197,0.0
U0004,U0198,0.111
U0004,U0199,0.111
U0004,U0200,0.111
U0005,U0006,0.25
U0005,U0007,0.111
U0005,U0008,0.111
U0005,U0009,0.111
U0005,U0010,0.25
U0005,U0011,0.0
U0005,U0012,0.25
U0005,U0013,0.0
U0005,U0014,0.25
U0005,U0015,0.25
U0005,U0016,0.111
U0005,U0017,0.111
U0005,U0018,0.111
U0005,U0019,0.25
U0005,U0020,0.0
U0005,U0021,0.25
U0005,U0022,0.111
U0005,U0023,0.25
U0005,U0024,0.25
U0005,U0025,0.25
U0005,U0026,0.111
U0005,U0027,0.429
U0005,U0028,0.111
U0005,U0029,0.0
U0005,U0030,0.0
U0005,U0031,0.111
U0005,U0032,0.111
U0005,U0033,0.111
U0005,U0034,0.111
U0005,U0035,0.111
U0005,U0036,0.111
U0005,U0037,0.111
U0005,U0038,0.25
U0005,U0039,0.111
U0005,U0040,0.25
U0005,U0041,0.0
U0005,U0042,0.25
U0005,U0043,0.25
U0005,U0044,0.111
U0005,U0045,0.111
U0005,U0046,0.25
U0005,U0047,0.25
U0005,U0048,0.111
U0005,U0049,0.111
U0005,U0050,0.0
U0005,U0051,0.25
U0005,U0052,0.111
U0005,U0053,0.111
U0005,U0054,0.0
U0005,U0055,0.429
U0005,U0056,0.111
U0005,U0057,0.25
U0005,U0058,0.111
U0005,U0059,0.25
U0005,U0060,0.429
U0005,U0061,0.111
U0005,U0062,0.429
U0005,U0063,0.111
U0005,U0064,0.25
U0005,U0065,0.0
U0005,U0066,0.0
U0005,U0067,0.111
U0005,U0068,0.429
U0005,U0069,0.25
U0005,U0070,0.0
U0005,U0071,0.25
U0005,U0072,0.0
U0005,U0073,0.111
U0005,U0074,0.111
U0005,U0075,0.0
U0005,U0076,0.25
U0005,U0077,0.111
U0005,U0078,0.25
U0005,U0079,0.111
U0005,U0080,0.111
U0005,U0081,0.25
U0005,U0082,0.25
U0005,U0083,0.0
U0005,U0084,0.0
U0005,U0085,0.25
U0005,U0086,0.111
U0005,U0087,0.25
U0005,U0088,0.111
U0005,U0089,0.25
U0005,U0090,0.111
U0005,U0091,0.111
U0005,U0092,0.429
U0005,U0093,0.111
U0005,U0094,0.0
U0005,U0095,0.0
U0005,U0096,0.111
U0005,U0097,0.0
U0005,U0098,0.25
U0005,U0099,0.111
U0005,U0100,0.429
U0005,U0101,0.0
U0005,U0102,0.111
U0005,U0103,0.0
U0005,U0104,0.25
U0005,U0105,0.111
U0005,U0106,0.111
U0005,U0107,0.25
U0005,U0108,0.25
U0005,U0109,0.0
U0005,U0110,0.25
U0005,U0111,0.0
U0005,U0112,0.111
U0005,U0113,0.111
U0005,U0114,0.0
U0005,U0115,0.111
U0005,U0116,0.667
U0005,U0117,0.111
U0005,U0118,0.0
U0005,U0119,0.25
U0005,U0120,0.111
U0005,U0121,0.0
U0005,U0122,0.111
U0005,U0123,0.25
U0005,U0124,0.25
U0005,U0125,0.111
U0005,U0126,0.0
U0005,U0127,0.0
U0005,U0128,0.25
U0005,U0129,0.25
U0005,U0130,0.0
U0005,U0131,0.25
U0005,U0132,0.111
U0005,U0133,0.25
U0005,U0134,0.111
U0005,U0135,0.111
U0005,U0136,0.111
U0005,U0137,0.111
U0005,U0138,0.0
U0005,U0139,0.0
U0005,U0140,0.111
U0005,U0141,0.429
U0005,U0142,0.25
U0005,U0143,0.0
U0005,U0144,0.111
U0005,U0145,0.111
U0005,U0146,0.25
U0005,U0147,0.111
U0005,U0148,0.111
U0005,U0149,0.25
U0005,U0150,0.0
U0005,U0151,0.25
U0005,U0152,0.111
U0005,U0153,0.111
U0005,U0154,0.111
U0005,U0155,0.0
U0005,U0156,0.111
U0005,U0157,0.111
U0005,U0158,0.0
U0005,U0159,0.111
U0005,U0160,0.25
U0005,U0161,0.111
U0005,U0162,0.111
U0005,U0163,0.25
U0005,U0164,0.25
U0005,U0165,0.111
U0005,U0166,0.0
U0005,U0167,0.0
U0005,U0168,0.111
U0005,U0169,0.25
U0005,U0170,0.25
U0005,U0171,0.111
U0005,U0172,0.111
U0005,U0173,0.111
U0005,U0174,0.429
U0005,U0175,0.111
U0005,U0176,0.111
U0005,U0177,0.25
U0005,U0178,0.25
U0005,U0179,0.25
U0005,U0180,0.111
U0005,U0181,0.111
U0005,U0182,0.25
U0005,U0183,0.111
U0005,U0184,0.111
U0005,U0185,0.25
U0005,U0186,0.111
U0005,U0187,0.111
U0005,U0188,0.0
U0005,U0189,0.111
U0005,U0190,0.25
U0005,U0191,0.25
U0005,U0192,0.25
U0005,U0193,0.111
U0005,U0194,0.429
U0005,U0195,0.0
U0005,U0196,0.0
U0005,U0197,0.0
U0005,U0198,0.0
U0005,U0199,0.429
U0005,U0200,0.25
U0006,U0007,0.111
U0006,U0008,0.429
U0006,U0009,0.25
U0006,U0010,0.25
U0006,U0011,0.111
U0006,U0012,0.0
U0006,U0013,0.111
U0006,U0014,0.111
U0006,U0015,0.111
U0006,U0016,0.25
U0006,U0017,0.25
U0006,U0018,0.25
U0006,U0019,0.111
U0006,U0020,0.111
U0006,U0021,0.111
U0006,U0022,0.25
U0006,U0023,0.111
U0006,U0024,0.25
U0006,U0025,0.0
U0006,U0026,0.111
U0006,U0027,0.25
U0006,U0028,0.429
U0006,U0029,0.111
U0006,U0030,0.0
U0006,U0031,0.111
U0006,U0032,0.0
U0006,U0033,0.429
U0006,U0034,0.111
U0006,U0035,0.429
U0006,U0036,0.429
U0006,U0037,0.0
U0006,U0038,0.111
U0006,U0039,0.0
U0006,U0040,0.111
U0006,U0041,0.111
U0006,U0042,0.0
U0006,U0043,0.0
U0006,U0044,0.429
U0006,U0045,0.111
U0006,U0046,0.667
U0006,U0047,0.0
U0006,U0048,0.429
U0006,U0049,0.0
U0006,U0050,0.111
U0006,U0051,0.25
U0006,U0052,0.111
U0006,U0053,0.25
U0006,U0054,0.111
U0006,U0055,0.25
U0006,U0056,0.25
U0006,U0057,0.111
U0006,U0058,0.111
U0006,U0059,0.111
U0006,U0060,0.111
U0006,U0061,0.0
U0006,U0062,0.429
U0006,U0063,0.0
U0006,U0064,0.0
U0006,U0065,0.111
U0006,U0066,0.0
U0006,U0067,0.0
U0006,U0068,0.111
U0006,U0069,0.25
U0006,U0070,0.25
U0006,U0071,0.25
U0006,U0072,0.111
U0006,U0073,0.25
U0006,U0074,0.111
U0006,U0075,0.111
U0006,U0076,0.0
U0006,U0077,0.111
U0006,U0078,0.25
U0006,U0079,0.429
U0006,U0080,0.0
U0006,U0081,0.111
U0006,U0082,0.25
U0006,U0083,0.0
U0006,U0084,0.25
U0006,U0085,0.25
U0006,U0086,0.25
U0006,U0087,0.0
U0006,U0088,0.25
U0006,U0089,0.25
U0006,U0090,0.0
U0006,U0091,0.429
U0006,U0092,0.25
U0006,U0093,0.25
U0006,U0094,0.111
U0006,U0095,0.0
U0006,U0096,0.25
U0006,U0097,0.0
U0006,U0098,0.111
U0006,U0099,0.25
U0006,U0100,0.111
U0006,U0101,0.111
U0006,U0102,0.111
U0006,U0103,0.25
U0006,U0104,0.429
U0006,U0105,0.111
U0006,U0106,0.25
U0006,U0107,0.429
U0006,U0108,0.111
U0006,U0109,0.0
U0006,U0110,0.111
U0006,U0111,0.111
U0006,U0112,0.0
U0006,U0113,0.111
U0006,U0114,0.0
U0006,U0115,0.429
U0006,U0116,0.25
U0006,U0117,0.429
U0006,U0118,0.111
U0006,U0119,0.25
U0006,U0120,0.0
U0006,U0121,0.111
U0006,U0122,0.0
U0006,U0123,0.429
U0006,U0124,0.25
U0006,U0125,0.25
U0006,U0126,0.111
U0006,U0127,0.25
U0006,U0128,0.0
U0006,U0129,0.25
U0006,U0130,0.111
U0006,U0131,0.429
U0006,U0132,0.0
U0006,U0133,0.111
U0006,U0134,0.0
U0006,U0135,0.111
U0006,U0136,0.111
U0006,U0137,0.111
U0006,U0138,0.25
U0006,U0139,0.111
U0006,U0140,0.0
U0006,U0141,0.25
U0006,U0142,0.111
U0006,U0143,0.111
U0006,U0144,0.111
U0006,U0145,0.0
U0006,U0146,0.111
U0006,U0147,0.111
U0006,U0148,0.111
U0006,U0149,0.111
U0006,U0150,0.0
U0006,U0151,0.0
U0006,U0152,0.111
U0006,U0153,0.25
U0006,U0154,0.111
U0006,U0155,0.0
U0006,U0156,0.25
U0006,U0157,0.111
U0006,U0158,0.25
U0006,U0159,0.111
U0006,U0160,0.25
U0006,U0161,0.111
U0006,U0162,0.25
U0006,U0163,0.111
U0006,U0164,0.111
U0006,U0165,0.0
U0006,U0166,0.111
U0006,U0167,0.111
U0006,U0168,0.25
U0006,U0169,0.25
U0006,U0170,0.111
U0006,U0171,0.25
U0006,U0172,0.25
U0006,U0173,0.25
U0006,U0174,0.111
U0006,U0175,0.25
U0006,U0176,0.111
U0006,U0177,0.25
U0006,U0178,0.25
U0006,U0179,0.111
U0006,U0180,0.25
U0006,U0181,0.111
U0006,U0182,0.25
U0006,U0183,0.111
U0006,U0184,0.25
U0006,U0185,0.25
